serial_no,reviewer_name,room_type,period_of_stay,traveler_type,review_score_numerator,review_score_denominator,review_score_description,review_date,review_text,extraction_timestamp,review_detected_lang,review_translated
58,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in January 2025,Couple,10.0,/10,Outstanding,"Posted January 11, 2025","The very best one can imagine ! Not online becouse of incredible and Freeware Upgrade, luxury in Perfektion!",2025-09-08 22:36:59,en,"The very best one can imagine ! Not online becouse of incredible and Freeware Upgrade, luxury in Perfektion!"
59,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in January 2025,Couple,10.0,/10,Outstanding,"Posted January 10, 2025",It is such great hotel. We have travel around all the world. This hotel really giving us a 5 start hotel experience. Recommend everyone to try.,2025-09-08 22:36:59,en,It is such great hotel. We have travel around all the world. This hotel really giving us a 5 start hotel experience. Recommend everyone to try.
60,R‍_‍a‍_‍h‍_‍u‍_‍l,Sands Premier King City View,Stayed in January 2025,Couple,10.0,/10,Outstanding,"Posted January 16, 2025","We expected the service to be average considering the scale of the hotel and how crowded it was. However we were pleasantly surprised. Their room service was quick and spot on. Rooms were so clean, spacious, modern and full of amenities. They really know how to manage such a large hotel and be hospitable at the same time.",2025-09-08 22:36:59,en,"We expected the service to be average considering the scale of the hotel and how crowded it was. However we were pleasantly surprised. Their room service was quick and spot on. Rooms were so clean, spacious, modern and full of amenities. They really know how to manage such a large hotel and be hospitable at the same time."
61,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in December 2024,Family,10.0,/10,Outstanding,"Posted December 27, 2024","We were upgraded to a suite for no reason whatsoever other than Cedric at check in was an absolute gem🤩.  My daughter and I absolutely loved the room with every amenity one could need plus some.  We each had our own room with large screen televisions. We each had our own sink/mirror to get ready at as well a vanity/walk in closet area. As 2 traveling women this was truly a luxury. Our view of the winter wonderland/ gardens by the bay was unbeatable as was the view of the harbor filled with ships.  We had a small stocked bar as well as a tea cupboard with a porcelain tea set.  Prices for in room amenities - such as the alcohol, tea and array of snacks was no more expensive than purchasing at a store surprisingly.  Our stay and experience, we felt, was far worth the expense!",2025-09-08 22:37:07,en,"We were upgraded to a suite for no reason whatsoever other than Cedric at check in was an absolute gem🤩.  My daughter and I absolutely loved the room with every amenity one could need plus some.  We each had our own room with large screen televisions. We each had our own sink/mirror to get ready at as well a vanity/walk in closet area. As 2 traveling women this was truly a luxury. Our view of the winter wonderland/ gardens by the bay was unbeatable as was the view of the harbor filled with ships.  We had a small stocked bar as well as a tea cupboard with a porcelain tea set.  Prices for in room amenities - such as the alcohol, tea and array of snacks was no more expensive than purchasing at a store surprisingly.  Our stay and experience, we felt, was far worth the expense!"
62,S‍i‍t‍i‍ ‍R‍a‍s‍h‍i‍d‍a‍h,Sands Premier King,Stayed in December 2024,Couple,10.0,/10,Outstanding,"Posted January 16, 2025","From the service, facilities and my experience I’ve no words to describe. We had such a great and enjoyable stay. Will definitely be back again.",2025-09-08 22:37:08,en,"From the service, facilities and my experience I’ve no words to describe. We had such a great and enjoyable stay. Will definitely be back again."
63,E‍d‍k‍u,Sands Premier King,Stayed in July 2024,Family,10.0,/10,Outstanding,"Posted July 4, 2024",Very nice hotel and they give us early checkin at 11am. The breakfast is also delicious,2025-09-08 22:37:08,en,Very nice hotel and they give us early checkin at 11am. The breakfast is also delicious
64,L‍a‍n‍c‍e‍r‍ ‍S‍y‍ ‍L‍u‍y‍a‍o,Sands Premier King,Stayed in December 2024,Couple,10.0,/10,Outstanding,"Posted December 14, 2024","First time to experience such a luxurious stay and it will probably be the best stay ever. Trying to save money while working in Sg in order to experience staying in MBS. Thank you for the wonderful staffs, they even provided us bonus access to the infinity pool which we enjoyed so much. Will definitely book again in the future. Work hard self ☺️

P.S 
Can’t share photos, i don’t know what happened with my Trip.com app privacy the only options are Add Only and None.",2025-09-08 22:37:08,en,"First time to experience such a luxurious stay and it will probably be the best stay ever. Trying to save money while working in Sg in order to experience staying in MBS. Thank you for the wonderful staffs, they even provided us bonus access to the infinity pool which we enjoyed so much. Will definitely book again in the future. Work hard self ☺️

P.S 
Can’t share photos, i don’t know what happened with my Trip.com app privacy the only options are Add Only and None."
65,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in December 2024,Business traveller,8.0,/10,Very Good,"Posted January 17, 2025",The experience of staying here has been awesome but the facilities available could have been more current ...overall pretty satisfied...,2025-09-08 22:37:09,en,The experience of staying here has been awesome but the facilities available could have been more current ...overall pretty satisfied...
66,N‍E‍L‍I‍A‍ ‍A‍G‍U‍S‍T‍I‍N‍ ‍S‍U‍Z‍U‍K‍I,Sands Bay Suite King Gardens By The Bay View,Stayed in July 2025,Family,10.0,/10,Outstanding,"Posted August 11, 2025","Nice place,good service and enjoy the food.",2025-09-08 22:37:09,en,"Nice place,good service and enjoy the food."
67,N‍a‍d‍e‍r‍ ‍k,Sands Premier King,Stayed in November 2024,Family,10.0,/10,Outstanding,"Posted November 25, 2024","Generally hotel stuff were great , specially eurkia in front desk , she was very professional hospitable and kind  , she made our check in very pleasant and welcoming 
Great hotel to stay 
Looking forward to go back",2025-09-08 22:37:09,en,"Generally hotel stuff were great , specially eurkia in front desk , she was very professional hospitable and kind  , she made our check in very pleasant and welcoming 
Great hotel to stay 
Looking forward to go back"
68,W‍o‍n‍d‍e‍r‍f‍u‍l‍W‍o‍r‍l‍d,Sands Premier King,Stayed in May 2024,Business traveller,10.0,/10,Outstanding,"Posted May 28, 2024","This is my 3rd time staying in MBS, perfect location for shopping, walking to Garden by the Bay, Merlion and many more. 
also I’m really appreciated room attendants 👍👍👍",2025-09-08 22:37:11,en,"This is my 3rd time staying in MBS, perfect location for shopping, walking to Garden by the Bay, Merlion and many more. 
also I’m really appreciated room attendants 👍👍👍"
69,W‍e‍i‍z‍h‍i‍q‍i‍a‍n‍g,Sands Premier Double Queen City View Room,Stayed in November 2024,Family,9.5,/10,Amazing,"Posted November 26, 2024","Receptionist Aria gave us a warm welcome which really refreshed us after a long flight. She is so kind, considerate and sweat which makes MBS a must-try hotel in Singapore.  Icon building in Marina Bay area. Usually long queue for breakfast though especially if you get up late but food is fantastic.",2025-09-08 22:37:11,en,"Receptionist Aria gave us a warm welcome which really refreshed us after a long flight. She is so kind, considerate and sweat which makes MBS a must-try hotel in Singapore.  Icon building in Marina Bay area. Usually long queue for breakfast though especially if you get up late but food is fantastic."
70,a‍l‍i‍ ‍m‍o‍o‍s‍a‍v‍i‍i,Sands Premier King,Stayed in October 2024,Solo traveller,10.0,/10,Outstanding,"Posted October 28, 2024",Fantastic,2025-09-08 22:37:12,en,Fantastic
71,J‍i‍n‍w‍o‍n,,Stayed in November 2024,Family,10.0,/10,Outstanding,"Posted November 17, 2024",All was really nice. Fantastic view on the infinity pool. Room condition was great. We could see Super tree show directly in the room.,2025-09-08 22:37:18,en,All was really nice. Fantastic view on the infinity pool. Room condition was great. We could see Super tree show directly in the room.
72,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in May 2024,Family,7.0,/10,,"Posted June 29, 2024","It was just OK for a big name. Not super good for family travellers. Restaurants aren’t good at all with way too many people. 
Night view from the poolwas good though.",2025-09-08 22:37:18,en,"It was just OK for a big name. Not super good for family travellers. Restaurants aren’t good at all with way too many people. 
Night view from the poolwas good though."
73,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,,Stayed in June 2024,Business traveller,10.0,/10,Outstanding,"Posted July 26, 2024","Repeat booking 
Clean rooms conveniently located 
Shopping centre massage etc",2025-09-08 22:37:18,en,"Repeat booking 
Clean rooms conveniently located 
Shopping centre massage etc"
74,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,,Stayed in May 2024,Family,10.0,/10,Outstanding,"Posted May 2, 2024",To be honest it was the best hotel we stayed in. The staff was so considerate and kind. They even asked if we are celebrating any occasion and try their best to make it special  . We were unsure about our next trip to Singapore but because of kind people and marina bay sands we wanna come again. The service and the staff is spectacular .,2025-09-08 22:37:18,en,To be honest it was the best hotel we stayed in. The staff was so considerate and kind. They even asked if we are celebrating any occasion and try their best to make it special  . We were unsure about our next trip to Singapore but because of kind people and marina bay sands we wanna come again. The service and the staff is spectacular .
75,L‍e‍e‍I‍v‍a‍n,,Stayed in April 2024,Couple,9.5,/10,Amazing,"Posted April 23, 2024","We request for our room to be at 9 floor and above, the request was fulfilled. They also upgrade us to the a bigger unit at 25th floor with a beautiful view. We are very please and happy with this special arrangement.",2025-09-08 22:37:19,en,"We request for our room to be at 9 floor and above, the request was fulfilled. They also upgrade us to the a bigger unit at 25th floor with a beautiful view. We are very please and happy with this special arrangement."
